Series,Part #,Load (lb),Stiffness (lb/in),Type (for image),A (in),B (in),C (in),D (in),E (in),F (in),Plate ID (in),Plate Thickness (in)
2255,2255-X5,950,6090,1,2.5,0.64,1.63,2.12,1.01,3.2,1.5,0.75
2260,,450 - 2000,5294 - 28571,1,2.97,0.64,1.96,2,0.83,2.25,1.81,0.93
2260,2260-X7,1200,14118,1,2.97,0.64,1.96,2,0.83,2.25,1.81,0.93
2260,2260-X8,1400,20000,1,2.97,0.64,1.96,2,0.83,2.25,1.81,0.93
2260,2260-X9,2000,28571,1,2.97,0.64,1.96,2,0.83,2.25,1.81,0.93
2260,2260-X2,450,5294,1,2.97,0.64,1.96,2,0.83,2.25,1.81,0.93
2283,,900 - 3000,7500 - 25000,1,3.3,0.81,1.63,1.94,0.88,2.5,1.5,0.88
2283,2283-X3,900,7500,1,3.3,0.81,1.63,1.94,0.88,2.5,1.5,0.88
2283,2283-X4,1200,10000,1,3.3,0.81,1.63,1.94,0.88,2.5,1.5,0.88
2283,2283-X8,3000,25000,1,3.3,0.81,1.63,1.94,0.88,2.5,1.5,0.88
2283,2283-X5,1550,12917,1,3.3,0.81,1.63,1.94,0.88,2.5,1.5,0.88
2283,2283-X6,1950,16250,1,3.3,0.81,1.63,1.94,0.88,2.5,1.5,0.88
2283,2283-X7,2400,20000,1,3.3,0.81,1.63,1.94,0.88,2.5,1.5,0.88
2290,,950 - 2500,9500 - 25000,1,3.75,0.77,2.25,2.13,1.13,2.5,2,0.75
2290,2290-X2,950,9500,1,3.75,0.77,2.25,2.13,1.13,2.5,2,0.75
2290,2290-X3,1100,11000,1,3.75,0.77,2.25,2.13,1.13,2.5,2,0.75
2290,2290-X4,1400,14000,1,3.75,0.77,2.25,2.13,1.13,2.5,2,0.75
2290,2290-X5,1800,18000,1,3.75,0.77,2.25,2.13,1.13,2.5,2,0.75
2290,2290-X6,2100,21000,1,3.75,0.77,2.25,2.13,1.13,2.5,2,0.75
2290,2290-X7,2500,25000,1,3.75,0.77,2.25,2.13,1.13,2.5,2,0.75
2295,,750 - 3100,6250 - 25833,1,3.74,0.8,2.23,2.01,1,2.5,2,0.75
2295,2295-X4,1200,10000,1,3.74,0.8,2.23,2.01,1,2.5,2,0.75
2295,2295-X5,1600,13333,1,3.74,0.8,2.23,2.01,1,2.5,2,0.75
2295,2295-X6,2100,17500,1,3.74,0.8,2.23,2.01,1,2.5,2,0.75
2295,2295-X7,2500,20833,1,3.74,0.8,2.23,2.01,1,2.5,2,0.75
2295,2295-X8,3100,25833,1,3.74,0.8,2.23,2.01,1,2.5,2,0.75
2295,2295-X2,750,6250,1,3.74,0.8,2.23,2.01,1,2.5,2,0.75
2295,2295-X3,900,7500,1,3.74,0.8,2.23,2.01,1,2.5,2,0.75
